"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hsa_signal_wait_scacquire",2,1794383014,897191507.000000,99.32,15779,1794367235,1268798082.369555
"hsa_queue_create",1,10515251,10515251.000000,0.5820,10515251,10515251,0.00000000e+00
"hsa_executable_destroy",1,1372842,1372842.000000,0.0760,1372842,1372842,0.00000000e+00
"hsa_executable_load_agent_code_object",1,219986,219986.000000,0.0122,219986,219986,0.00000000e+00
"hsa_executable_freeze",1,144547,144547.000000,8.001e-03,144547,144547,0.00000000e+00
"hsa_code_object_reader_create_from_memory",1,29050,29050.000000,1.608e-03,29050,29050,0.00000000e+00
"hsa_iterate_agents",1,13640,13640.000000,7.550e-04,13640,13640,0.00000000e+00
"hsa_executable_create_alt",1,12879,12879.000000,7.128e-04,12879,12879,0.00000000e+00
"hsa_signal_destroy",2,4670,2335.000000,2.585e-04,700,3970,2312.239174
"hsa_executable_get_symbol_by_name",2,1660,830.000000,9.188e-05,270,1390,791.959595
"hsa_system_get_info",3,1660,553.333333,9.188e-05,130,1370,707.413128
"hsa_signal_create",2,1290,645.000000,7.140e-05,110,1180,756.604256
"hsa_code_object_reader_destroy",1,760,760.000000,4.207e-05,760,760,0.00000000e+00
"hsa_agent_get_info",7,700,100.000000,3.874e-05,40,280,90.000000
"hsa_queue_load_write_index_relaxed",1,340,340.000000,1.882e-05,340,340,0.00000000e+00
"hsa_queue_cas_write_index_relaxed",1,200,200.000000,1.107e-05,200,200,0.00000000e+00
"hsa_executable_symbol_get_info",4,190,47.500000,1.052e-05,30,90,28.722813
"hsa_signal_store_relaxed",1,190,190.000000,1.052e-05,190,190,0.00000000e+00
"hsa_queue_load_read_index_scacquire",1,110,110.000000,6.088e-06,110,110,0.00000000e+00
"hsa_signal_store_screlease",1,110,110.000000,6.088e-06,110,110,0.00000000e+00
